National Code,AQF Level,Title,TGA Status,State Code,Nominal Hours,Type,QA,StateCode,NatCode,NatTitle,NatCodeAndTitle
CUA30615,Certificate III in,Arts Administration,Current,AZM8,490,Qualification,AZM8,AZM8,CUA30615,Arts Administration,CUA30615 Certificate III in Arts Administration
CUA30715,Certificate III in,Design Fundamentals,Current,AZN7,515,Qualification,AZN7,AZN7,CUA30715,Design Fundamentals,CUA30715 Certificate III in Design Fundamentals
CUA30715,Certificate III in,Design Fundamentals,Current,AZN7,515,Qualification,AZN7,AZN7,CUA30715,Design Fundamentals,CUA30715 Certificate III in Design Fundamentals
CUA30815,Certificate III in,Broadcast Technology,Current,AZM3,435,Qualification,AZM3,AZM3,CUA30815,Broadcast Technology,CUA30815 Certificate III in Broadcast Technology
CUA30815,Certificate III in,Broadcast Technology,Current,AZM3,435,Qualification,AZM3,AZM3,CUA30815,Broadcast Technology,CUA30815 Certificate III in Broadcast Technology
CUA30915,Certificate III in,Music Industry,Current,AZK9,345,Qualification,AZK9,AZK9,CUA30915,Music Industry,CUA30915 Certificate III in Music Industry
CUA30915,Certificate III in,Music Industry,Current,AZK9,345,Qualification,AZK9,AZK9,CUA30915,Music Industry,CUA30915 Certificate III in Music Industry
CUA31015,Certificate III in,Screen and Media,Current,AZO4,400,Qualification,AZO4,AZO4,CUA31015,Screen and Media,CUA31015 Certificate III in Screen and Media
CUA31015,Certificate III in,Screen and Media,Current,AZO4,400,Qualification,AZO4,AZO4,CUA31015,Screen and Media,CUA31015 Certificate III in Screen and Media
CUA31115,Certificate III in,Visual Arts,Current,AZN2,535,Qualification,AZN2,AZN2,CUA31115,Visual Arts,CUA31115 Certificate III in Visual Arts
CUA31115,Certificate III in,Visual Arts,Current,AZN2,535,Qualification,AZN2,AZN2,CUA31115,Visual Arts,CUA31115 Certificate III in Visual Arts
CUA40113,Certificate IV in,Dance,Current,J697,690,Qualification,J697,J697,CUA40113,Dance,CUA40113 Certificate IV in Dance
CUA40113,Certificate IV in,Dance,Current,J697,690,Qualification,J697,J697,CUA40113,Dance,CUA40113 Certificate IV in Dance
CUA40213,Certificate IV in,Community Culture,Current,J698,745,Qualification,J698,J698,CUA40213,Community Culture,CUA40213 Certificate IV in Community Culture
CUA40213,Certificate IV in,Community Culture,Current,J698,745,Qualification,J698,J698,CUA40213,Community Culture,CUA40213 Certificate IV in Community Culture
CUA40313,Certificate IV in,Dance Teaching and Management,Current,J699,540,Qualification,J699,J699,CUA40313,Dance Teaching and Management,CUA40313 Certificate IV in Dance Teaching and Management
CUA40313,Certificate IV in,Dance Teaching and Management,Current,J699,540,Qualification,J699,J699,CUA40313,Dance Teaching and Management,CUA40313 Certificate IV in Dance Teaching and Management
CUA40415,Certificate IV in,Live Production and Technical Services,Current,AZO0,664,Qualification,AZO0,AZO0,CUA40415,Live Production and Technical Services,CUA40415 Certificate IV in Live Production and Technical Services
CUA40415,Certificate IV in,Live Production and Technical Services,Current,AZO0,664,Qualification,AZO0,AZO0,CUA40415,Live Production and Technical Services,CUA40415 Certificate IV in Live Production and Technical Services
CUA40513,Certificate IV in,Musical Theatre,Current,J701,825,Qualification,J701,J701,CUA40513,Musical Theatre,CUA40513 Certificate IV in Musical Theatre
CUA40513,Certificate IV in,Musical Theatre,Current,J701,825,Qualification,J701,J701,CUA40513,Musical Theatre,CUA40513 Certificate IV in Musical Theatre
CUA40615,Certificate IV in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZK4,660,Qualification,AZK4,AZK4,CUA40615,Aboriginal and Torres Strait Islander Cultural Arts,CUA40615 Certificate IV in Aboriginal and Torres Strait Islander Cultural Arts
CUA40615,Certificate IV in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZK4,660,Qualification,AZK4,AZK4,CUA40615,Aboriginal and Torres Strait Islander Cultural Arts,CUA40615 Certificate IV in Aboriginal and Torres Strait Islander Cultural Arts
CUA40715,Certificate IV in,Design,Current,AZN5,665,Qualification,AZN5,AZN5,CUA40715,Design,CUA40715 Certificate IV in Design
CUA40715,Certificate IV in,Design,Current,AZN5,665,Qualification,AZN5,AZN5,CUA40715,Design,CUA40715 Certificate IV in Design
CUA40815,Certificate IV in,Arts Administration,Current,AZL4,640,Qualification,AZL4,AZL4,CUA40815,Arts Administration,CUA40815 Certificate IV in Arts Administration
CUA40815,Certificate IV in,Arts Administration,Current,AZL4,640,Qualification,AZL4,AZL4,CUA40815,Arts Administration,CUA40815 Certificate IV in Arts Administration
CUA40915,Certificate IV in,Music Industry,Current,AZN6,535,Qualification,AZN6,AZN6,CUA40915,Music Industry,CUA40915 Certificate IV in Music Industry
CUA40915,Certificate IV in,Music Industry,Current,AZN6,535,Qualification,AZN6,AZN6,CUA40915,Music Industry,CUA40915 Certificate IV in Music Industry
CUA41015,Certificate IV in,Broadcast Technology,Current,AZL2,640,Qualification,AZL2,AZL2,CUA41015,Broadcast Technology,CUA41015 Certificate IV in Broadcast Technology
CUA41015,Certificate IV in,Broadcast Technology,Current,AZL2,640,Qualification,AZL2,AZL2,CUA41015,Broadcast Technology,CUA41015 Certificate IV in Broadcast Technology
CUA41115,Certificate IV in,Photography and Photo Imaging,Current,AZM5,640,Qualification,AZM5,AZM5,CUA41115,Photography and Photo Imaging,CUA41115 Certificate IV in Photography and Photo Imaging
CUA41115,Certificate IV in,Photography and Photo Imaging,Current,AZM5,640,Qualification,AZM5,AZM5,CUA41115,Photography and Photo Imaging,CUA41115 Certificate IV in Photography and Photo Imaging
CUA41215,Certificate IV in,Screen and Media,Current,AZK7,570,Qualification,AZK7,AZK7,CUA41215,Screen and Media,CUA41215 Certificate IV in Screen and Media
CUA41215,Certificate IV in,Screen and Media,Current,AZK7,570,Qualification,AZK7,AZK7,CUA41215,Screen and Media,CUA41215 Certificate IV in Screen and Media
CUA41315,Certificate IV in,Visual Arts,Current,AZO2,630,Qualification,AZO2,AZO2,CUA41315,Visual Arts,CUA41315 Certificate IV in Visual Arts
CUA41315,Certificate IV in,Visual Arts,Current,AZO2,630,Qualification,AZO2,AZO2,CUA41315,Visual Arts,CUA41315 Certificate IV in Visual Arts
CUA50113,Diploma of,Dance (Elite Performance),Current,J702,1358,Qualification,J702,J702,CUA50113,Dance (Elite Performance),CUA50113 Diploma of Dance (Elite Performance)
CUA50113,Diploma of,Dance (Elite Performance),Current,J702,1358,Qualification,J702,J702,CUA50113,Dance (Elite Performance),CUA50113 Diploma of Dance (Elite Performance)
CUA50213,Diploma of,Musical Theatre,Current,J703,985,Qualification,J703,J703,CUA50213,Musical Theatre,CUA50213 Diploma of Musical Theatre
CUA50213,Diploma of,Musical Theatre,Current,J703,985,Qualification,J703,J703,CUA50213,Musical Theatre,CUA50213 Diploma of Musical Theatre
CUA50313,Diploma of,Dance Teaching and Management,Current,J704,960,Qualification,J704,J704,CUA50313,Dance Teaching and Management,CUA50313 Diploma of Dance Teaching and Management
CUA50313,Diploma of,Dance Teaching and Management,Current,J704,960,Qualification,J704,J704,CUA50313,Dance Teaching and Management,CUA50313 Diploma of Dance Teaching and Management
CUA50415,Diploma of,Live Production and Technical Services,Current,AZK8,1009,Qualification,AZK8,AZK8,CUA50415,Live Production and Technical Services,CUA50415 Diploma of Live Production and Technical Services
CUA50415,Diploma of,Live Production and Technical Services,Current,AZK8,1009,Qualification,AZK8,AZK8,CUA50415,Live Production and Technical Services,CUA50415 Diploma of Live Production and Technical Services
CUA50513,Diploma of,Live Production Design,Current,J706,1020,Qualification,J706,J706,CUA50513,Live Production Design,CUA50513 Diploma of Live Production Design
CUA50513,Diploma of,Live Production Design,Current,J706,1020,Qualification,J706,J706,CUA50513,Live Production Design,CUA50513 Diploma of Live Production Design
CUA50615,Diploma of,Aboriginal and Torres Strait Islander Visual Arts Industry Work,Current,AZM1,650,Qualification,AZM1,AZM1,CUA50615,Aboriginal and Torres Strait Islander Visual Arts Industry Work,CUA50615 Diploma of Aboriginal and Torres Strait Islander Visual Arts Industry Work
CUA50615,Diploma of,Aboriginal and Torres Strait Islander Visual Arts Industry Work,Current,AZM1,650,Qualification,AZM1,AZM1,CUA50615,Aboriginal and Torres Strait Islander Visual Arts Industry Work,CUA50615 Diploma of Aboriginal and Torres Strait Islander Visual Arts Industry Work
CUA50715,Diploma of,Graphic Design,Current,AZK6,920,Qualification,AZK6,AZK6,CUA50715,Graphic Design,CUA50715 Diploma of Graphic Design
CUA50715,Diploma of,Graphic Design,Current,AZK6,920,Qualification,AZK6,AZK6,CUA50715,Graphic Design,CUA50715 Diploma of Graphic Design
CUA50815,Diploma of,Music Industry,Current,AZN0,757,Qualification,AZN0,AZN0,CUA50815,Music Industry,CUA50815 Diploma of Music Industry
CUA50815,Diploma of,Music Industry,Current,AZN0,757,Qualification,AZN0,AZN0,CUA50815,Music Industry,CUA50815 Diploma of Music Industry
CUA50915,Diploma of,Photography and Photo Imaging,Current,AZM2,950,Qualification,AZM2,AZM2,CUA50915,Photography and Photo Imaging,CUA50915 Diploma of Photography and Photo Imaging
CUA50915,Diploma of,Photography and Photo Imaging,Current,AZM2,950,Qualification,AZM2,AZM2,CUA50915,Photography and Photo Imaging,CUA50915 Diploma of Photography and Photo Imaging
CUA51015,Diploma of,Screen and Media,Current,AZL8,705,Qualification,AZL8,AZL8,CUA51015,Screen and Media,CUA51015 Diploma of Screen and Media
CUA51015,Diploma of,Screen and Media,Current,AZL8,705,Qualification,AZL8,AZL8,CUA51015,Screen and Media,CUA51015 Diploma of Screen and Media
CUA51115,Diploma of,Visual Arts,Current,AZL3,744,Qualification,AZL3,AZL3,CUA51115,Visual Arts,CUA51115 Diploma of Visual Arts
CUA51115,Diploma of,Visual Arts,Current,AZL3,744,Qualification,AZL3,AZL3,CUA51115,Visual Arts,CUA51115 Diploma of Visual Arts
CUA51215,Diploma of,Ceramics,Current,AZL1,1010,Qualification,AZL1,AZL1,CUA51215,Ceramics,CUA51215 Diploma of Ceramics
CUA51215,Diploma of,Ceramics,Current,AZL1,1010,Qualification,AZL1,AZL1,CUA51215,Ceramics,CUA51215 Diploma of Ceramics
CUA60113,Advanced Diploma of,Dance (Elite Performance),Current,J707,1735,Qualification,J707,J707,CUA60113,Dance (Elite Performance),CUA60113 Advanced Diploma of Dance (Elite Performance)
CUA60113,Advanced Diploma of,Dance (Elite Performance),Current,J707,1735,Qualification,J707,J707,CUA60113,Dance (Elite Performance),CUA60113 Advanced Diploma of Dance (Elite Performance)
