National Code,Title,TGA Status,State Code,Nominal Hours
BSBMGT403,Implement continuous improvement,Current,AUK47,50
BSBMGT404,Lead and facilitate off-site staff,Current,AUM03,40
BSBMGT405,Provide personal leadership,Current,AUI75,50
BSBMGT406,Plan and monitor continuous improvement,Current,AUI85,40
BSBMGT407,Apply digital solutions to work processes,Current,AUK12,45
BSBMGT502,Manage people performance,Current,AUI44,50
BSBMGT516,Facilitate continuous improvement,Current,AUL24,50
BSBMGT517,Manage operational plan,Current,AUJ03,50
BSBMGT518,Develop organisation policy,Current,AUM22,55
BSBMGT519,Incorporate digital solutions into plans and practices,Current,AUM12,55
BSBMGT520,Plan and manage the flexible workforce,Current,AUL68,55
BSBMGT521,"Plan, implement and review a quality assurance program",Current,AUI49,65
BSBMGT605,Provide leadership across the organisation,Current,Aug-94,60
BSBMGT608,Manage innovation and continuous improvement,Current,AUH42,60
BSBMGT615,Contribute to organisation development,Current,AUL21,60
BSBMGT616,Develop and implement strategic plans,Current,AUL97,60
BSBMGT617,Develop and implement a business plan,Current,AUK16,60
BSBMGT618,Develop an engagement centre business plan,Current,AUI43,80
BSBMGT619,Identify and implement business innovation,Current,AUK34,70
BSBMGT621,Design and manage the enterprise quality management system,Current,AUM14,70
BSBMGT622,Manage resources,Current,AUK80,70
BSBMGT623,Monitor corporate governance activities,Current,AUJ64,45
BSBMGT624,Develop and implement corporate social responsibility,Current,AUH66,45
BSBMGT801,Direct the development of a knowledge management strategy for a business,Current,AUK42,70
BSBMGT802,Lead design and review of enterprise systems,Current,AUH44,65
BSBMGT803,Use financial and economic information for strategic decision making,Current,AUH83,90
BSBMKG401,Profile the market,Current,AUH38,40
BSBMKG408,Conduct market research,Current,AUK63,50
BSBMKG409,Design direct response offers,Current,AUL58,60
BSBMKG410,Test direct marketing activities,Current,AUL41,30
BSBMKG411,Analyse direct marketing databases,Current,AUL53,50
BSBMKG412,Conduct e-marketing communications,Current,AUH33,50
BSBMKG413,Promote products and services,Current,AUM05,20
BSBMKG414,Undertake marketing activities,Current,AUM20,40
BSBMKG415,Research international markets,Current,AUK96,40
BSBMKG416,Market goods and services internationally,Current,AUH14,50
BSBMKG417,Apply marketing communication across a convergent industry,Current,AWF89,65
BSBMKG418,Develop and apply knowledge of marketing communication industry,Current,AWF87,35
BSBMKG419,Analyse consumer behaviour,Current,AWF88,55
BSBMKG420,Create digital media user experiences,Current,AWF86,55
BSBMKG421,Optimise digital media impact,Current,AWF85,45
BSBMKG501,Identify and evaluate marketing opportunities,Current,AUI00,50
BSBMKG502,Establish and adjust the marketing mix,Current,AUL84,50
BSBMKG506,Plan market research,Current,AUH85,50
BSBMKG507,Interpret market trends and developments,Current,AUM46,50
BSBMKG508,Plan direct marketing activities,Current,AUM10,50
BSBMKG509,Implement and monitor direct marketing activities,Current,AUJ14,40
BSBMKG510,Plan e-marketing communications,Current,AUL52,50
BSBMKG511,Analyse data from international markets,Current,AUJ74,50
BSBMKG512,Forecast international market and business needs,Current,AUJ24,50
BSBMKG513,Promote products and services to international markets,Current,AUL16,50
BSBMKG514,Implement and monitor marketing activities,Current,AUH48,40
BSBMKG515,Conduct a marketing audit,Current,AUH97,40
BSBMKG516,Profile international markets,Current,AUK01,50
BSBMKG517,Analyse consumer behaviour for specific international markets,Current,AUJ95,50
BSBMKG518,Plan and implement services marketing,Current,AUI45,40
BSBMKG519,Plan and implement business-to-business marketing,Current,AUI13,40
BSBMKG520,Manage compliance within the marketing legislative framework,Current,AUJ53,50
BSBMKG521,Plan and implement sponsorship and event marketing,Current,AUM51,50
BSBMKG522,Plan measurement of marketing effectiveness,Current,AUJ04,40
BSBMKG523,Design and develop an integrated marketing communication plan,Current,AUJ17,80
BSBMKG524,Design effective user experiences,Current,AWF84,35
BSBMKG525,Design effective web search responses,Current,AWF82,45
BSBMKG526,Develop strategies to monetise digital engagement,Current,AWF83,55
BSBMKG527,Plan social media engagement,Current,AWF81,45
BSBMKG528,Mine data to identify industry directions,Current,AWF80,65
BSBMKG529,Manage client account,Current,AWF79,55
BSBMKG530,Create distributed multiplatform digital advertisements,Current,AWF78,55
BSBMKG603,Manage the marketing process,Current,AUM53,50
BSBMKG605,Evaluate international marketing opportunities,Current,AUL61,60
BSBMKG606,Manage international marketing programs,Current,AUL48,60
BSBMKG607,Manage market research,Current,AUH36,60
BSBMKG608,Develop organisational marketing objectives,Current,AUJ28,60
BSBMKG609,Develop a marketing plan,Current,AUH71,50
BSBMKG610,"Develop, implement and monitor a marketing campaign",Current,AUI65,80
BSBMKG611,Manage measurement of marketing effectiveness,Current,AUH76,50
BSBPMG409,Apply project scope management techniques,Current,AUK78,30
BSBPMG410,Apply project time management techniques,Current,AUM27,40
BSBPMG411,Apply project quality management techniques,Current,AUH75,30
BSBPMG412,Apply project cost management techniques,Current,AUK33,40
BSBPMG413,Apply project human resources management approaches,Current,AUI29,40
BSBPMG414,Apply project information management and communications techniques,Current,AUI69,30
BSBPMG415,Apply project risk management techniques,Current,AUH27,40
BSBPMG416,Apply project procurement procedures,Current,AUK58,40
BSBPMG417,Apply project life cycle management processes,Current,AUM13,40
BSBPMG418,Apply project stakeholder engagement techniques,Current,AUJ23,40
BSBPMG511,Manage project scope,Current,AUH53,40
BSBPMG512,Manage project time,Current,AUM39,40
BSBPMG513,Manage project quality,Current,AUH22,40
BSBPMG514,Manage project cost,Current,AUI15,40
BSBPMG515,Manage project human resources,Current,AUM40,40
